gender,SeniorCitizen,Partner,Dependents,tenure,PaperlessBilling,MonthlyCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_MonthlyCharges_interaction,tenure_FiberOptic_interaction,MonthlyCharges_FiberOptic_interaction,tenure_squared,Is_Electronic_Check
0,1,0,0,-1.2774445836787656,1,0.2438955491054544,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.31156304818812114,-1.2774445836787656,0.2438955491054544,1.6318646643702146,1
1,1,0,0,0.5142514200025698,0,-0.06852228692577646,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,-0.03523768335340407,0.0,-0.0,0.2644545229746595,0
1,1,0,0,-1.2774445836787656,1,-1.3181936310507012,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.6839193142255633,-0.0,-0.0,1.6318646643702146,1
0,1,1,0,0.7178532386027215,0,-1.3148700370503688,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,-0.9438837144382877,0.0,-0.0,0.5153132721724158,1
0,0,1,0,-0.7888002190384014,0,0.9750862291785486,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,-0.769148231157368,-0.7888002190384014,0.9750862291785486,0.6222057855550299,1
0,0,1,1,-0.38159658183809786,1,0.6310942501441613,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,-0.24082340867268945,-0.38159658183809786,0.6310942501441613,0.14561595127052013,1
0,0,0,0,-1.1960038562387048,0,-1.4926823160681442,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.7852538061568215,-0.0,-0.0,1.4304252241378523,0
0,0,1,1,-1.1552834925186746,0,-1.4760643460664828,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.7052727729059798,-0.0,-0.0,1.3346799480861464,0
0,0,1,1,-1.2774445836787656,0,-1.1387195550327598,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.454651127905693,-0.0,-0.0,1.6318646643702146,0
0,0,1,1,0.9214550572028734,1,1.2941512532104444,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1.1925022170562003,0.9214550572028734,1.2941512532104444,0.8490794224447507,0
1,0,1,1,0.880734693482843,0,-1.4744025490663168,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,-1.2985574771222448,0.0,-0.0,0.7756936003043173,0
1,0,0,0,-0.2594354906780068,1,-1.5009913010689746,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.38941041469624926,-0.0,-0.0,0.06730677382333816,0
0,0,1,1,1.4915401492832983,0,-1.4976677070686424,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-2.233831515377938,0.0,-0.0,2.2246920169240436,0
1,0,1,1,0.18848851024232702,0,0.8787020031689138,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0.16562523152425707,0.18848851024232702,0.8787020031689138,0.035527918493371814,0
0,0,1,0,0.6771328748826912,0,-1.4727407520661506,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.9972411794034494,0.0,-0.0,0.4585089302468984,0
1,0,1,0,1.369379058123207,0,1.6963061272506461,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,2.322886086823115,1.369379058123207,1.6963061272506461,1.8751990048264016,0
0,0,0,0,1.4100994218432374,0,-1.4694171580658184,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,-2.072024285035144,0.0,-0.0,1.9883803794826325,1
1,0,1,1,-0.5037576729981889,1,-0.84291968900319,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0.42462726105660403,-0.0,-0.0,0.25377179310455017,0
0,0,0,1,0.43281069256250915,1,-1.3181936310507012,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,-0.5705282983865426,0.0,-0.0,0.1873250955964388,1
0,0,1,0,0.9214550572028734,1,0.8321716871642622,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.7668088095985568,0.9214550572028734,0.8321716871642622,0.8490794224447507,0
0,0,1,0,1.0843365120829946,1,0.9966895901807084,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1.0807469138459787,1.0843365120829946,0.9966895901807084,1.1757856714363144,1
0,0,1,1,-0.8295205827584317,0,-1.477726143066649,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.2258042513540164,-0.0,-0.0,0.688104397219888,0
1,0,1,1,-0.21871512695797646,1,0.3652067301175816,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0798762363435743,-0.21871512695797646,0.3652067301175816,0.04783630676024376,0
1,1,0,0,-1.2367242199587352,1,-0.5155456799704636,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.6375878289145673,-0.0,-0.0,1.529486796232542,1
0,0,0,0,-0.21871512695797646,0,0.44663478312572175,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,-0.09768578329519051,-0.0,0.0,0.04783630676024376,0
1,0,1,1,-0.30015585439803716,0,-1.304899255049372,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0.3916731508027065,-0.0,-0.0,0.09009353692941569,0
1,0,1,1,-0.30015585439803716,1,-0.10508182092943122,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0.03154092374277497,-0.0,-0.0,0.09009353692941569,0
1,0,0,1,-0.13727439951791576,1,-0.6567984249845842,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0.09016160939407163,-0.0,-0.0,0.01884426076300435,0
1,0,1,0,1.6137012404433893,1,0.677624566148813,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1.093483602949253,0.0,0.0,2.6040316934085332,0
0,0,0,0,-0.748079855318371,0,-0.4424266119631542,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.33097043586639346,-0.0,-0.0,0.5596234699331548,0
0,0,0,0,0.10704778280226633,1,1.1462513201956595,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0.12270366236111599,0.10704778280226633,1.1462513201956595,0.011459227802881188,1
1,0,0,0,-1.2774445836787656,1,-0.6800635829869099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8687435406438028,-0.0,-0.0,1.6318646643702146,0
1,0,0,0,-0.13727439951791576,1,0.9784098231788811,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,-0.13431062095931104,-0.13727439951791576,0.9784098231788811,0.01884426076300435,1
1,0,0,0,1.2879383306831464,0,0.5480044001358552,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0.7057958723179923,0.0,0.0,1.65878514364289,1
0,0,1,1,0.26992923768238775,1,1.1695164781979852,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0.315686691416973,0.26992923768238775,1.1695164781979852,0.07286179335579497,0
0,1,0,0,0.3106496014024181,1,0.8903345821700764,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0.2765820830659227,0.3106496014024181,0.8903345821700764,0.09650317485148124,1
1,0,0,0,0.3106496014024181,1,1.3207400052131024,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0.41028735617567785,0.3106496014024181,1.3207400052131024,0.09650317485148124,0
0,1,0,0,-0.8702409464784621,1,1.0049985751815391,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,-0.8745909112754884,-0.8702409464784621,1.0049985751815391,0.7573193049277295,1
0,0,1,0,-1.0738427650786138,0,-0.47898614596680894,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5143558074193466,-0.0,-0.0,1.1531382841116828,1
1,0,0,0,-0.0965540357978854,1,-0.00869759491979612,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.0008397878912415009,-0.0,-0.0,0.009322681828859336,0
1,0,0,0,-0.21871512695797646,1,-1.5076384890696393,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.32974334354359797,-0.0,-0.0,0.04783630676024376,1
1,1,1,0,1.5322605130033284,1,1.330710787214099,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,2.0389955934757387,1.5322605130033284,1.330710787214099,2.347822279709223,1
0,0,1,0,1.002895784642934,1,1.4835961112293827,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1.4878922860645976,1.002895784642934,1.4835961112293827,1.0057999548545664,0
1,0,1,0,1.0436161483629645,0,-0.4806479429669752,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-0.5016119549577764,0.0,-0.0,1.089134665123949,0
1,0,0,0,-0.6666391278783103,1,0.22063039110312907,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,-0.14708085150844047,-0.0,0.0,0.4444077268183541,0
0,0,1,0,1.4915401492832983,1,1.7029533152513108,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,2.5400232420524276,1.4915401492832983,1.7029533152513108,2.2246920169240436,1
1,0,0,0,-1.2774445836787656,1,-1.4926823160681442,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.906818939814326,-0.0,-0.0,1.6318646643702146,1
1,0,0,1,-1.2774445836787656,1,1.1628692901973208,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.485501076288938,-1.2774445836787656,1.1628692901973208,1.6318646643702146,1
1,1,1,1,-0.015113308357824713,1,0.9701008381780505,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,-0.01466143310556909,-0.015113308357824713,0.9701008381780505,0.00022841208951869432,0
1,0,1,1,-0.6666391278783103,1,0.8654076271675846,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,-0.5769145858342365,-0.6666391278783103,0.8654076271675846,0.4444077268183541,0
1,0,1,0,0.6771328748826912,0,0.6510358141461546,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0.4408377524843792,0.0,0.0,0.4585089302468984,1
0,0,1,0,1.5729808767233588,0,-0.21642221994056152,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,-0.34042801326452005,0.0,-0.0,2.4742688385373866,0
0,0,0,0,0.025607055362205634,0,1.422109622223236,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0.03641603982739574,0.025607055362205634,1.422109622223236,0.0006557212843230643,1
0,0,1,0,-0.9109613101984924,1,-1.4893587220678117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.356748172810446,-0.0,-0.0,0.8298505086785538,0
1,0,1,0,-0.46303730927815856,1,1.5434208032353631,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,-0.7146614158140367,-0.46303730927815856,1.5434208032353631,0.21440354978355705,1
1,0,1,1,0.18848851024232702,0,-0.8163309370005319,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-0.15386900217995317,0.0,-0.0,0.035527918493371814,0
0,1,0,0,-0.2594354906780068,1,0.6992279271509723,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,-0.1814045403761781,-0.2594354906780068,0.6992279271509723,0.06730677382333816,0
1,0,0,0,0.7178532386027215,1,-0.9758634490164798,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,-0.7005267373105019,0.0,-0.0,0.5153132721724158,0
0,0,0,0,-1.0331224013585834,1,0.3020584441112687,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.31206334513087136,-1.0331224013585834,0.3020584441112687,1.0673418961889258,1
0,0,1,1,1.1657772395230555,0,0.7756705891586139,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0.904259118208551,0.0,0.0,1.3590365721899953,0
1,0,0,0,-0.7073594915983407,1,1.2160467942026365,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,-0.8601822421069689,-0.7073594915983407,1.2160467942026365,0.5003574503542629,1
0,0,0,1,-0.2594354906780068,0,-0.6302096729819263,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0.16349875574009226,-0.0,-0.0,0.06730677382333816,0
1,0,1,0,1.6137012404433893,1,0.9933659961803764,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1.6029959402505565,1.6137012404433893,0.9933659961803764,2.6040316934085332,1
1,0,1,1,0.47353105628253944,1,-1.4710789550659844,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.69660157146741,0.0,-0.0,0.22423166126405752,0
1,0,0,0,1.369379058123207,0,0.8188773111629334,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1.121353441078762,1.369379058123207,0.8188773111629334,1.8751990048264016,0
0,0,0,0,-1.2367242199587352,1,0.7141841001524675,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,-0.8832487741679915,-1.2367242199587352,0.7141841001524675,1.529486796232542,1
0,1,0,0,0.47353105628253944,0,0.33529438411459117,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0.15877230387538588,0.0,0.0,0.22423166126405752,0
0,0,0,0,-0.8295205827584317,1,0.830509890164096,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,-0.688925048075562,-0.8295205827584317,0.830509890164096,0.688104397219888,0
1,1,1,0,1.4915401492832983,1,1.5018758782312098,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,2.2401081716219635,1.4915401492832983,1.5018758782312098,2.2246920169240436,1
0,0,0,0,-1.2774445836787656,1,0.5131066631323666,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.6554653276679268,-1.2774445836787656,0.5131066631323666,1.6318646643702146,0
0,0,0,0,-1.1960038562387048,0,-1.4926823160681442,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.7852538061568215,-0.0,-0.0,1.4304252241378523,0
0,0,1,0,-1.2367242199587352,0,0.8504514541660894,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,-1.051773911266329,-1.2367242199587352,0.8504514541660894,1.529486796232542,1
0,1,0,0,-0.21871512695797646,1,0.720831288153132,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,-0.15765670670369397,-0.21871512695797646,0.720831288153132,0.04783630676024376,0
1,0,0,0,-0.2594354906780068,1,-1.477726143066649,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.3833746070142146,-0.0,-0.0,0.06730677382333816,1
0,1,1,0,0.26992923768238775,1,1.2127232002023045,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0.3273494489503537,0.26992923768238775,1.2127232002023045,0.07286179335579497,1
1,0,0,0,-0.30015585439803716,1,0.9950277931805424,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,-0.2986634174118991,-0.30015585439803716,0.9950277931805424,0.09009353692941569,0
0,0,0,0,-1.2774445836787656,0,0.20401242110146783,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-0.26061456233926156,-1.2774445836787656,0.20401242110146783,1.6318646643702146,0
1,0,1,0,-0.4223169455581282,1,-0.3510277769540174,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.14824497856928054,-0.0,-0.0,0.17835160250554702,1
0,0,0,0,1.6137012404433893,1,1.6663937812476561,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,2.6890617118664926,1.6137012404433893,1.6663937812476561,2.6040316934085332,1
0,0,0,0,-0.3408762181180675,1,-1.502653098069141,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5122187052132064,-0.0,-0.0,0.11619659607847634,0
0,0,1,0,-0.5444780367182193,1,0.7341256641544608,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,-0.3997153003232796,-0.5444780367182193,0.7341256641544608,0.29645633246852654,1
1,0,1,1,1.5729808767233588,0,-1.3098846460498705,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,-2.060423498949992,0.0,-0.0,2.4742688385373866,0
1,1,1,0,0.025607055362205634,1,1.5002140812310438,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0.038416065033243796,0.025607055362205634,1.5002140812310438,0.0006557212843230643,0
0,0,0,0,-1.1960038562387048,0,-1.4893587220678117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.781278774915852,-0.0,-0.0,1.4304252241378523,0
1,0,1,1,0.5956921474426305,0,0.7457582431556239,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0.444242329338417,0.5956921474426305,0.7457582431556239,0.3548491345248127,1
1,0,1,1,1.2064976032430856,0,1.4420511862252297,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1.7398312999345882,1.2064976032430856,1.4420511862252297,1.4556364666313102,0
1,0,0,0,1.5729808767233588,1,1.7129240972523074,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,2.6943968482565026,1.5729808767233588,1.7129240972523074,2.4742688385373866,0
1,1,1,0,-1.0331224013585834,1,0.8055829351616043,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,-0.8322657764676525,-1.0331224013585834,0.8055829351616043,1.0673418961889258,1
0,0,1,1,-0.21871512695797646,0,0.32033821111309646,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-0.07006281251309196,-0.21871512695797646,0.32033821111309646,0.04783630676024376,0
1,0,0,0,-1.2367242199587352,0,-1.4860351280674797,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.837815634590533,-0.0,-0.0,1.529486796232542,0
0,0,0,1,-0.30015585439803716,0,-0.9874960280176428,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.2964027140043036,-0.0,-0.0,0.09009353692941569,0
1,1,0,0,-0.0965540357978854,1,0.3319707901142591,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,-0.03205311955254448,-0.0,0.0,0.009322681828859336,1
0,1,1,0,1.0436161483629645,1,1.3539759452164248,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1.4130311609228694,1.0436161483629645,1.3539759452164248,1.089134665123949,0
1,0,1,0,-0.9109613101984924,1,0.6809481601491449,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,-0.6203174281467179,-0.9109613101984924,0.6809481601491449,0.8298505086785538,1
0,0,0,0,-0.9516816739185228,1,0.3469269631157543,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.3301640329854707,-0.9516816739185228,0.3469269631157543,0.9056980084723615,0
0,1,1,0,-1.0738427650786138,1,0.6510358141461546,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,-0.6991100988279132,-1.0738427650786138,0.6510358141461546,1.1531382841116828,1
0,0,1,1,1.4915401492832983,0,0.6543594081464871,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0.976003329311742,1.4915401492832983,0.6543594081464871,2.2246920169240436,0
0,1,0,0,1.369379058123207,1,1.2509445312061254,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1.7130172439074207,1.369379058123207,1.2509445312061254,1.8751990048264016,0
0,0,0,0,1.5322605130033284,0,1.6879971422498155,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,2.5864513671318545,1.5322605130033284,1.6879971422498155,2.347822279709223,0
1,0,0,0,-0.30015585439803716,0,-1.3115464430500368,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.3936683431963904,-0.0,-0.0,0.09009353692941569,0
0,0,1,1,0.5549717837226001,1,-1.5126238800701375,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,-0.8394635728239246,0.0,-0.0,0.30799368072824446,0
0,0,1,0,0.880734693482843,1,1.6580847962468257,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1.46033280479101,0.880734693482843,1.6580847962468257,0.7756936003043173,0
0,0,0,0,-0.7073594915983407,0,1.3406815692150957,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,-0.9483438331952557,-0.7073594915983407,1.3406815692150957,0.5003574503542629,1
0,0,1,1,-0.8295205827584317,0,-1.5076384890696393,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.2506171580420886,-0.0,-0.0,0.688104397219888,0
0,0,0,0,-0.4223169455581282,1,-0.47898614596680894,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0.2022839661293625,-0.0,-0.0,0.17835160250554702,1
0,0,1,0,1.5322605130033284,0,-0.23137839294205673,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,-0.35453197506728157,0.0,-0.0,2.347822279709223,0
1,0,0,0,-0.0965540357978854,1,0.6493740171459885,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,-0.06269968209773043,-0.0965540357978854,0.6493740171459885,0.009322681828859336,0
1,0,1,1,1.5729808767233588,0,1.1894580421999785,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1.8709947540453722,1.5729808767233588,1.1894580421999785,2.4742688385373866,0
1,0,1,0,-0.0965540357978854,0,-1.4943441130683104,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.14428495498755695,-0.0,-0.0,0.009322681828859336,0
1,0,1,1,-1.1552834925186746,1,0.6659919871476498,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,-0.7694095489013891,-1.1552834925186746,0.6659919871476498,1.3346799480861464,0
1,0,0,0,-1.2367242199587352,1,0.7008897241511383,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,-0.8668072973779095,-1.2367242199587352,0.7008897241511383,1.529486796232542,1
1,0,0,1,-0.9109613101984924,1,-1.4893587220678117,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.356748172810446,-0.0,-0.0,0.8298505086785538,0
1,1,0,0,-1.1552834925186746,0,0.35191235411625243,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.40655853352389265,-1.1552834925186746,0.35191235411625243,1.3346799480861464,1
1,1,0,0,0.7992939660427822,1,-0.5305018529719588,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,-0.4240269300550019,0.0,-0.0,0.6388708441524004,0
1,0,0,0,-1.1145631287986442,0,-0.5853411539774409,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6523996679917055,-0.0,-0.0,1.242250968077423,1
1,0,1,1,-0.9924020376385531,0,-1.4827115340671475,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.471445947638422,-0.0,-0.0,0.984861804309152,0
0,1,0,0,-1.2367242199587352,1,-0.6800635829869099,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8410511041918287,-0.0,-0.0,1.529486796232542,1
1,0,0,0,-1.1960038562387048,0,0.6493740171459885,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,-0.7766538286478211,-1.1960038562387048,0.6493740171459885,1.4304252241378523,1
1,0,0,0,-0.5444780367182193,0,-0.1732154979362424,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0.09431203424549403,-0.0,-0.0,0.29645633246852654,1
1,0,0,0,1.6137012404433893,0,0.16246749609731476,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0.26217399998396834,0.0,0.0,2.6040316934085332,0
1,1,1,0,1.247217966963116,0,-0.952598291014154,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-1.188097703851212,0.0,-0.0,1.5555526571156084,0
1,0,1,0,1.369379058123207,1,-0.27126152094604356,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,-0.37145984605816174,0.0,-0.0,1.8751990048264016,0
1,0,0,0,-1.2774445836787656,1,0.37019212111808014,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-0.47289992004284503,-1.2774445836787656,0.37019212111808014,1.6318646643702146,1
0,0,0,0,1.125056875803025,1,0.47987072312904416,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0.5398818565529009,1.125056875803025,0.47987072312904416,1.2657529737916633,0
0,0,1,1,0.6364125111626608,0,-0.6567984249845842,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,-0.41799473497211975,0.0,-0.0,0.4050208843643639,0
0,0,0,0,-1.2774445836787656,1,0.6909189421501416,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,-0.8826106604107608,-1.2774445836787656,0.6909189421501416,1.6318646643702146,0
1,0,0,0,-0.7073594915983407,1,0.9501592741760567,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,-0.6721041811186239,-0.7073594915983407,0.9501592741760567,0.5003574503542629,1
