Churn,gender,SeniorCitizen,Partner,Dependents,tenure,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges
False,Male,False,Yes,Yes,37,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),91.2
False,Female,False,Yes,No,49,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.45
False,Male,False,Yes,No,66,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),115.8
False,Female,False,No,No,67,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.55
False,Male,False,Yes,Yes,20,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),39.4
False,Female,False,No,Yes,43,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.1
False,Female,False,Yes,No,55,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.8
False,Female,False,Yes,No,59,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.75
False,Female,False,Yes,Yes,12,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3
False,Male,False,Yes,Yes,27,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75
True,Male,True,No,No,2,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.25
False,Female,False,No,No,27,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,78.2
False,Male,False,Yes,Yes,25,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.5
False,Male,False,Yes,Yes,25,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.6
False,Male,False,No,Yes,29,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,45.0
False,Male,False,Yes,No,72,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15
False,Female,False,No,No,14,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),51.45
False,Female,False,No,No,35,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25
False,Male,False,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.3
False,Male,False,No,No,29,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2
False,Male,False,No,No,64,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,81.25
False,Female,False,Yes,Yes,39,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.95
False,Female,True,No,No,40,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.55
True,Male,False,No,No,40,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5
True,Female,True,No,No,11,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0
False,Female,False,Yes,No,6,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.35
False,Male,False,No,No,30,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.5
False,Male,False,No,No,27,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.4
False,Male,True,Yes,No,70,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.8
False,Female,False,Yes,No,57,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.4
False,Male,False,Yes,No,58,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),50.3
False,Male,False,No,No,16,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.4
False,Female,False,Yes,No,69,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,116.0
True,Male,False,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.85
True,Male,False,No,Yes,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75
False,Male,True,Yes,Yes,32,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.95
False,Male,False,Yes,Yes,16,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.8
True,Male,False,Yes,No,49,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,84.35
False,Female,False,Yes,No,71,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25
False,Female,False,No,No,33,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,107.55
False,Female,False,Yes,No,10,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.95
True,Male,False,Yes,No,21,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2
True,Male,False,Yes,Yes,37,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),40.2
False,Female,True,No,No,26,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.8
False,Male,False,No,No,50,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,35.4
True,Female,False,No,No,7,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85
False,Female,False,Yes,Yes,61,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,88.1
True,Male,False,No,No,15,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.35
False,Female,False,No,Yes,26,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,45.8
False,Male,False,Yes,No,72,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.65
False,Male,False,Yes,Yes,44,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.5
False,Male,False,No,No,66,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),89.4
True,Female,False,No,No,2,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.25
False,Female,True,No,No,44,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85
True,Female,False,No,No,12,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.75
False,Male,True,Yes,No,69,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.95
True,Female,False,No,No,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,80.2
True,Female,False,No,No,3,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85
False,Female,False,Yes,No,2,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,90.35
False,Female,True,No,No,27,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.45
False,Male,False,No,No,26,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.3
False,Female,True,Yes,No,39,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.25
True,Male,False,No,No,25,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.7
True,Female,False,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.9
True,Male,False,Yes,No,22,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.2
False,Female,False,No,No,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.9
False,Female,False,No,No,24,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.55
False,Female,False,Yes,No,19,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.85
False,Male,False,Yes,Yes,71,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.35
False,Male,True,Yes,No,33,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.9
False,Female,False,No,No,3,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95
False,Male,False,Yes,Yes,47,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,87.2
False,Male,False,Yes,Yes,62,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.15
False,Male,False,No,No,71,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),116.3
False,Male,True,Yes,No,7,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.0
False,Female,False,Yes,Yes,27,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,74.4
False,Male,False,No,No,2,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05
False,Female,False,No,Yes,25,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),35.05
False,Male,True,No,No,30,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75
True,Female,True,Yes,No,58,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.5
True,Male,False,Yes,No,10,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.25
False,Female,False,No,No,9,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.2
True,Female,True,Yes,No,6,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.35
False,Female,False,Yes,Yes,69,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),84.45
False,Female,True,No,No,66,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),102.4
True,Female,False,No,No,70,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.55
True,Male,False,No,No,25,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),25.3
False,Female,False,Yes,Yes,46,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.25
False,Female,False,Yes,No,54,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,114.65
True,Female,False,No,No,15,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.1
False,Female,False,Yes,Yes,12,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.4
False,Female,False,No,No,22,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.35
False,Female,False,Yes,No,70,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),57.8
False,Male,False,No,No,30,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.3
False,Male,False,Yes,Yes,71,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),100.55
False,Male,False,Yes,No,30,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8
True,Male,False,Yes,Yes,4,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8
True,Male,False,No,No,2,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.85
False,Male,False,No,Yes,10,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.95
False,Male,True,No,No,4,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,75.35
False,Male,True,No,No,52,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),48.8
True,Male,False,No,No,5,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,47.15
False,Male,False,Yes,Yes,8,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.15
False,Female,True,No,No,2,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.3
False,Male,False,No,No,3,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,84.3
False,Male,False,No,No,19,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,59.55
False,Male,False,No,No,72,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.65
False,Male,True,Yes,No,63,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),36.1
False,Male,False,Yes,No,66,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),56.6
True,Male,False,No,No,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,75.9
False,Female,False,No,No,60,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),79.2
False,Female,False,Yes,Yes,48,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),45.0
True,Female,False,No,No,1,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.55
True,Male,False,No,No,15,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.35
False,Female,False,Yes,No,50,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.65
False,Male,False,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.7
False,Female,False,No,No,46,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,84.25
False,Female,False,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),92.65
False,Male,False,Yes,Yes,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7
False,Female,False,No,No,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.1
False,Female,True,No,No,67,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),92.45
False,Female,False,Yes,Yes,48,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,79.65
False,Female,False,No,No,72,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.9
False,Male,False,Yes,No,52,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),81.4
False,Female,False,Yes,Yes,67,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),50.55
True,Female,False,Yes,Yes,28,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05
False,Female,False,Yes,Yes,32,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),62.45
True,Female,True,Yes,No,27,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.2
False,Male,False,No,No,3,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,90.4
True,Male,False,No,No,2,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65
True,Female,False,No,Yes,9,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,72.9
False,Male,False,Yes,Yes,50,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),70.5
False,Female,False,Yes,Yes,71,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.1
True,Male,True,Yes,No,32,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9
False,Female,False,Yes,Yes,16,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),100.7
False,Female,False,Yes,Yes,67,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.65
False,Male,False,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.3
True,Female,False,No,No,3,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.75
False,Male,False,Yes,Yes,23,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.35
False,Male,False,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),69.85
False,Male,False,Yes,Yes,7,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,58.85
False,Male,False,Yes,Yes,8,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,54.4
False,Male,False,Yes,Yes,66,No phone service,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),50.55
True,Male,False,No,No,5,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05
True,Male,False,No,No,49,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7
False,Male,False,Yes,No,63,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.95
False,Female,True,Yes,Yes,12,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,29.3
False,Male,False,Yes,Yes,27,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),54.75
False,Female,False,No,No,35,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,60.55
False,Female,False,Yes,Yes,54,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,86.2
True,Male,False,No,No,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45
False,Male,False,No,No,5,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),63.95
False,Male,False,No,No,19,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),65.35
False,Male,False,Yes,Yes,52,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,50.2
False,Female,False,Yes,Yes,72,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),63.8
False,Male,False,No,No,32,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.05
True,Female,False,Yes,No,8,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15
False,Male,False,No,No,41,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,65.0
False,Male,False,No,No,5,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.25
False,Female,False,No,Yes,11,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,36.05
True,Male,False,No,No,5,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1
False,Female,False,No,No,16,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.05
False,Male,True,No,No,71,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),105.75
False,Female,False,No,No,11,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),40.4
True,Female,False,Yes,Yes,61,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.15
False,Female,False,Yes,No,71,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),84.8
False,Male,False,No,No,9,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85
False,Female,False,No,No,6,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.45
True,Female,False,No,No,26,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.8
False,Female,False,No,No,6,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,55.15
False,Male,False,No,No,11,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,84.8
True,Male,False,Yes,No,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.55
False,Female,False,Yes,No,49,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15
False,Female,False,Yes,Yes,3,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),58.7
False,Female,False,No,No,53,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,99.5
True,Male,False,Yes,Yes,23,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,99.85
True,Male,False,No,No,2,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.35
True,Male,False,No,No,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55
False,Male,False,No,Yes,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.4
True,Female,True,Yes,No,68,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2
True,Male,False,No,No,8,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.7
False,Female,False,Yes,No,70,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,97.65
False,Male,False,Yes,Yes,39,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,100.0
True,Female,False,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.1
True,Female,False,No,No,3,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,97.9
False,Male,False,Yes,No,60,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),102.5
True,Female,False,Yes,No,5,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.95
