gender,SeniorCitizen,Partner,Dependents,tenure,PaperlessBilling,MonthlyCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,0,55,1,89.8,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,59,1,94.75,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,1,1,12,0,20.3,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,1,1,27,1,75.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,2,1,49.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,27,0,78.2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1
1,0,1,1,25,0,25.5,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,0,1,1,25,1,61.6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,29,1,45.0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
1,0,1,0,72,1,85.15,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,0,0,14,0,51.45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,35,1,99.25,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0
1,0,0,0,1,1,44.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,29,1,94.2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,64,0,81.25,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
0,0,1,1,39,1,99.95,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0,1,0,0,40,1,91.55,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,40,1,104.5,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
0,1,0,0,11,1,95.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,6,0,50.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,30,1,64.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,27,1,19.4,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
1,1,1,0,70,1,104.8,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
0,0,1,0,57,1,109.4,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0
1,0,1,0,58,0,50.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,16,1,71.4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,69,1,116.0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,0,0,1,1,19.85,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
1,0,0,1,1,1,99.75,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,1,1,1,32,1,93.95,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1,0,1,1,16,1,90.8,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,49,0,84.35,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0
0,0,1,0,71,0,58.25,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,0,0,33,0,107.55,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,10,1,19.95,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
1,0,1,0,21,1,111.2,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,1,1,37,0,40.2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,26,1,85.8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,50,1,35.4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,7,1,73.85,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,61,0,88.1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0,0,0,15,1,101.35,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,0,1,26,0,45.8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,1,0,72,1,94.65,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,1,1,44,1,20.5,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,0,0,66,0,89.4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,2,1,86.25,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,0,0,44,0,74.85,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
0,0,0,0,12,1,89.75,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,0,69,1,109.95,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,0,0,0,1,1,80.2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,3,0,19.85,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,0,2,0,90.35,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,27,1,86.45,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,26,1,20.3,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,1,1,0,39,1,101.25,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,25,1,94.7,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,1,0,70.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,22,1,54.2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,72,1,114.9,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,0,0,0,24,1,19.55,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0,1,0,19,1,86.85,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,1,71,0,25.35,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,1,1,0,33,1,109.9,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
0,0,0,0,3,0,19.95,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,1,1,47,0,87.2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,1,62,0,108.15,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0,0,0,71,1,116.3,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0
1,1,1,0,7,1,89.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,27,0,74.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,2,0,20.05,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,0,1,25,0,35.05,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,0,0,30,1,74.75,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
0,1,1,0,58,1,105.5,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0
1,0,1,0,10,1,85.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,9,1,75.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,0,6,1,84.35,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,1,69,0,84.45,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,66,1,102.4,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,0,0,70,0,115.55,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0
1,0,0,0,25,0,25.3,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,0,1,1,46,1,19.25,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,0,1,0,54,1,114.65,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1
0,0,0,0,15,0,105.1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,1,1,12,0,19.4,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
0,0,0,0,22,1,50.35,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,70,0,57.8,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,0,0,30,1,84.3,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,1,1,71,0,100.55,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
1,0,1,0,30,0,19.8,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,1,1,4,1,84.8,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,1,85.85,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,1,10,1,19.95,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,1,0,0,4,0,75.35,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,0,52,1,48.8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,5,0,47.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,8,0,20.15,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,1,0,0,2,1,44.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,3,0,84.3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,19,0,59.55,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1,0,0,0,72,0,69.65,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
1,1,1,0,63,0,36.1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,1,0,66,1,56.6,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
1,0,0,0,1,1,75.9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,60,1,79.2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,48,0,45.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
0,0,0,0,1,1,85.55,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,15,1,93.35,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,50,1,109.65,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
1,0,1,1,72,0,89.7,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,0,46,0,84.25,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,72,0,92.65,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,1,1,1,0,19.7,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,0,0,1,1,50.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,67,1,92.45,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
0,0,1,1,48,0,79.65,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
0,0,0,0,72,1,109.9,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,1,0,52,1,81.4,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0
0,0,1,1,67,0,50.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,1,1,28,1,81.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,1,32,0,62.45,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,27,1,75.2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,3,0,90.4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,2,1,85.65,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,1,9,1,72.9,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
1,0,1,1,50,1,70.5,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
0,0,1,1,71,0,20.1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,1,1,0,32,1,74.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,16,0,100.7,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,0,1,1,67,1,105.65,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,1,1,72,1,114.3,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,0,3,0,19.75,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
1,0,1,1,23,0,24.35,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,1,1,72,0,69.85,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
1,0,1,1,7,0,58.85,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
1,0,1,1,8,1,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,1,66,0,50.55,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
1,0,0,0,5,0,21.05,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,0,0,49,1,103.7,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,1,0,63,1,19.95,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,1,1,1,12,1,29.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,1,1,27,1,54.75,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,35,0,60.55,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,54,1,86.2,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,1,1,95.45,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,5,1,63.95,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
1,0,0,0,19,1,65.35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
1,0,1,1,52,0,50.2,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
0,0,1,1,72,1,63.8,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,0,0,32,1,20.05,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0,1,0,8,0,101.15,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,41,0,65.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
1,0,0,0,5,1,19.25,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,0,1,11,1,36.05,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,5,1,96.1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
0,0,0,0,16,0,19.05,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,1,0,0,71,0,105.75,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
0,0,0,0,11,1,40.4,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
0,0,1,1,61,1,99.15,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,71,1,84.8,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0
1,0,0,0,9,0,19.85,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,0,0,6,1,49.45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,26,1,88.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,6,0,55.15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,11,0,84.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,1,0,1,1,80.55,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,49,1,20.15,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0,1,1,3,1,58.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,53,0,99.5,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1
1,0,1,1,23,1,99.85,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,2,0,45.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,1,1,48.55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,3,1,26.4,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,1,1,0,68,1,100.2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,8,1,94.7,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,70,1,97.65,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
1,0,1,1,39,0,100.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
0,0,0,0,1,1,70.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,3,1,97.9,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,1,0,60,0,102.5,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
0,0,1,0,5,0,69.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,0,3,1,81.35,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,55,1,66.05,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0,0,0,72,1,61.2,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
1,1,1,0,72,0,74.4,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
0,0,0,0,41,1,106.3,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,60,0,39.6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,6,0,89.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,46,1,108.9,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,0,15,0,19.9,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,0,58,1,102.1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
1,0,1,1,23,0,19.6,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,1,1,1,31,1,98.9,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,1,0,11,1,45.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,56,1,99.9,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
